target,partner_name,days,lead_days,country_code,pickup_country_code,flight_type,pax
I,Scandinavian Airlines (SAS),2,0,SE,US,International,1
medium car,Scandinavian Airlines (SAS),2,99,SE,SE,Domestic,1
S,Scandinavian Airlines (SAS),2,35,NO,NO,Domestic,1
E,FreeNow,3,1,DE,DE,Domestic,1
S,Scandinavian Airlines (SAS),2,26,NO,SE,International,2
E,Travelstart,2,7,ZA,ZA,Domestic,1
C,Scandinavian Airlines (SAS),1,9,SE,SE,Domestic,1
M,Scandinavian Airlines (SAS),3,15,NO,GB,International,1
E,Scandinavian Airlines (SAS),7,77,SE,ES,International,4
C,Scandinavian Airlines (SAS),5,18,SE,SE,Domestic,1
C,Scandinavian Airlines (SAS),3,35,SE,SE,Domestic,1
C,Scandinavian Airlines (SAS),5,57,SE,SE,Domestic,1
I,Lufthansa,6,22,SE,DE,International,1
C,Lufthansa,3,20,DE,ES,International,2
medium car,Scandinavian Airlines (SAS),8,28,DK,US,International,3
C,Lufthansa,6,184,SE,DE,International,2
I,Scandinavian Airlines (SAS),1,26,SE,SE,Domestic,1
C,Lufthansa,14,5,DE,ES,International,4
C,Scandinavian Airlines (SAS),8,33,NO,SE,International,2
medium car,Scandinavian Airlines (SAS),2,1,SE,SE,Domestic,3
M,Lufthansa,3,16,DE,IT,International,1
C,Scandinavian Airlines (SAS),5,1,SE,SE,Domestic,1
I,Scandinavian Airlines (SAS),3,5,DK,US,International,1
E,Scandinavian Airlines (SAS),4,1,DK,GB,International,1
S,Scandinavian Airlines (SAS),1,1,SE,SE,Domestic,1
E,Scandinavian Airlines (SAS),2,16,NO,NO,Domestic,1
E,Travelstart,5,18,ZA,ZA,Domestic,1
F,Lufthansa,8,68,NO,DE,International,4
C,Lufthansa,14,3,DE,IT,International,3
F,Scandinavian Airlines (SAS),6,67,NO,US,International,1
M,Scandinavian Airlines (SAS),5,96,DK,FR,International,1
F,Scandinavian Airlines (SAS),4,7,DK,IT,International,1
I,Scandinavian Airlines (SAS),3,5,SE,SE,Domestic,3
M,Lufthansa,3,10,DE,DE,Domestic,1
E,Lufthansa,2,19,DE,DE,Domestic,1
C,Scandinavian Airlines (SAS),2,18,SE,SE,Domestic,1
I,Scandinavian Airlines (SAS),3,0,US,SE,International,1
E,TrenItalia,2,3,IT,IT,Domestic,1
E,Lufthansa,6,8,DE,IT,International,2
C,Lufthansa,13,1,DE,US,International,1
F,Scandinavian Airlines (SAS),25,24,SE,US,International,1
I,Scandinavian Airlines (SAS),7,72,NO,FR,International,2
M,Lufthansa,1,7,FR,DE,International,1
M,FreeNow,1,2,IT,IT,Domestic,1
C,Lufthansa,9,44,SE,IT,International,2
I,Lufthansa,22,212,US,DE,International,2
medium car,Scandinavian Airlines (SAS),8,5,DK,IT,International,1
F,Lufthansa,4,61,DE,US,International,2
M,Scandinavian Airlines (SAS),4,27,SE,NO,International,1
M,Lufthansa,2,16,DE,DE,Domestic,1
F,Lufthansa,1,29,DE,DE,Domestic,1
C,Scandinavian Airlines (SAS),2,32,SE,SE,Domestic,1
E,Scandinavian Airlines (SAS),8,80,NO,ES,International,1
M,Scandinavian Airlines (SAS),3,2,SE,SE,Domestic,1
M,Lufthansa,5,82,DE,GB,International,1
medium car,Scandinavian Airlines (SAS),19,93,US,SE,International,1
E,Lufthansa,2,25,GB,DE,International,1
E,Lufthansa,14,41,DE,ES,International,2
E,FreeNow,1,0,IT,IT,Domestic,1
F,Scandinavian Airlines (SAS),2,18,SE,SE,Domestic,1
medium car,Lufthansa,1,12,DE,DE,Domestic,1
I,Lufthansa,1,1,DE,DE,Domestic,1
C,Scandinavian Airlines (SAS),3,138,NO,DK,International,1
S,Scandinavian Airlines (SAS),2,2,DK,US,International,1
S,Scandinavian Airlines (SAS),2,32,SE,SE,Domestic,1
C,Scandinavian Airlines (SAS),8,2,SE,ES,International,1
C,Scandinavian Airlines (SAS),2,3,NO,FR,International,1
S,Scandinavian Airlines (SAS),1,1,NO,NO,Domestic,1
E,Scandinavian Airlines (SAS),7,26,DK,IT,International,1
C,Scandinavian Airlines (SAS),5,5,NO,DE,International,1
C,Scandinavian Airlines (SAS),4,29,SE,SE,Domestic,1
F,Lufthansa,4,7,DE,DE,Domestic,2
medium car,Scandinavian Airlines (SAS),6,30,SE,US,International,1
E,Lufthansa,3,11,DE,DE,Domestic,1
C,Lufthansa,5,4,DE,GB,International,1
I,Scandinavian Airlines (SAS),8,120,NO,ES,International,1
I,Scandinavian Airlines (SAS),2,3,GB,GB,Domestic,1
C,Lufthansa,1,5,DE,DE,Domestic,1
M,Travelstart,4,78,ZA,ZA,Domestic,1
I,Scandinavian Airlines (SAS),2,3,DK,US,International,1
medium car,Lufthansa,5,38,DE,DE,Domestic,1
S,Scandinavian Airlines (SAS),9,91,DK,US,International,1
E,Lufthansa,7,78,FR,NO,International,1
medium car,Lufthansa,2,7,GB,DE,International,1
C,Scandinavian Airlines (SAS),4,60,SE,ES,International,1
I,Scandinavian Airlines (SAS),8,31,NO,IT,International,1
E,Scandinavian Airlines (SAS),7,16,DK,ES,International,1
I,Scandinavian Airlines (SAS),6,45,SE,ES,International,1
M,FreeNow,4,1,IT,IT,Domestic,1
I,Lufthansa,11,8,DE,US,International,3
E,FreeNow,1,1,IT,IT,Domestic,1
C,Lufthansa,1,16,DE,DE,Domestic,1
C,Travelstart,3,3,ZA,ZA,Domestic,1
C,Scandinavian Airlines (SAS),2,3,SE,SE,Domestic,1
C,Scandinavian Airlines (SAS),4,265,NO,US,International,1
I,Lufthansa,15,2,DE,ES,International,4
C,Scandinavian Airlines (SAS),3,16,NO,NO,Domestic,1
C,Scandinavian Airlines (SAS),1,13,SE,SE,Domestic,2
F,Lufthansa,8,40,NO,DE,International,2
M,Lufthansa,8,4,DE,ES,International,1
S,Scandinavian Airlines (SAS),7,38,NO,US,International,1
C,Scandinavian Airlines (SAS),2,0,SE,SE,Domestic,1
F,Lufthansa,7,2,DE,DE,Domestic,1
C,Scandinavian Airlines (SAS),3,28,SE,SE,Domestic,1
medium car,Scandinavian Airlines (SAS),5,6,NO,NO,Domestic,1
medium car,Scandinavian Airlines (SAS),2,6,NO,NO,Domestic,1
M,TrenItalia,3,9,IT,IT,Domestic,1
S,Scandinavian Airlines (SAS),6,13,NO,NO,Domestic,1
C,Scandinavian Airlines (SAS),7,56,SE,GB,International,1
E,Scandinavian Airlines (SAS),8,0,DK,ES,International,2
S,Scandinavian Airlines (SAS),5,8,SE,US,International,1
M,TrenItalia,2,37,IT,IT,Domestic,1
medium car,Scandinavian Airlines (SAS),3,0,NO,NO,Domestic,1
I,Scandinavian Airlines (SAS),11,8,SE,US,International,1
S,Scandinavian Airlines (SAS),27,3,SE,SE,Domestic,1
E,Lufthansa,15,29,IT,ES,International,2
M,TrenItalia,4,19,IT,IT,Domestic,1
M,Lufthansa,2,13,FR,DE,International,1
M,FreeNow,2,1,DE,DE,Domestic,1
E,TrenItalia,1,20,IT,IT,Domestic,1
E,Scandinavian Airlines (SAS),3,6,NO,FR,International,1
C,Scandinavian Airlines (SAS),2,1,SE,DK,International,1
medium car,Lufthansa,3,2,DE,DE,Domestic,1
medium car,Scandinavian Airlines (SAS),5,32,NO,DK,International,1
M,Scandinavian Airlines (SAS),2,43,SE,GB,International,1
S,Lufthansa,7,17,DE,US,International,1
C,Scandinavian Airlines (SAS),11,136,NO,ES,International,4
S,Scandinavian Airlines (SAS),4,5,NO,NO,Domestic,1
M,Travelstart,1,3,ZA,ZA,Domestic,1
C,Lufthansa,14,78,DE,IT,International,3
C,Lufthansa,2,79,DE,GB,International,1
M,Lufthansa,4,26,DE,DE,Domestic,2
S,Lufthansa,5,105,SE,IT,International,3
E,Lufthansa,4,8,DE,DE,Domestic,1
C,Lufthansa,2,44,DE,IT,International,3
S,Scandinavian Airlines (SAS),7,8,US,SE,International,4
C,Scandinavian Airlines (SAS),10,3,NO,NO,Domestic,1
C,Scandinavian Airlines (SAS),5,29,NO,NO,Domestic,2
E,Lufthansa,14,150,DE,US,International,2
E,Lufthansa,1,5,DE,DE,Domestic,1
M,Lufthansa,1,10,DE,ES,International,1
E,Lufthansa,6,1,DK,DE,International,1
E,Travelstart,2,23,ZA,ZA,Domestic,1
E,Scandinavian Airlines (SAS),4,18,SE,GB,International,2
S,Scandinavian Airlines (SAS),3,4,NO,NO,Domestic,1
M,Scandinavian Airlines (SAS),4,113,SE,SE,Domestic,1
E,Scandinavian Airlines (SAS),14,58,DK,FR,International,1
C,Scandinavian Airlines (SAS),1,13,NO,NO,Domestic,1
F,Lufthansa,2,18,DE,DE,Domestic,1
S,Scandinavian Airlines (SAS),35,34,SE,SE,Domestic,1
medium car,Scandinavian Airlines (SAS),7,132,SE,US,International,1
E,Travelstart,1,38,ZA,ZA,Domestic,1
E,Lufthansa,17,69,DE,ES,International,2
M,Travelstart,1,11,ZA,ZA,Domestic,1
C,Lufthansa,1,2,DE,DE,Domestic,1
E,Lufthansa,2,8,DE,DE,Domestic,1
C,Lufthansa,1,5,DE,DE,Domestic,1
E,Scandinavian Airlines (SAS),5,4,SE,ES,International,1
E,Scandinavian Airlines (SAS),3,266,SE,SE,Domestic,1
I,Scandinavian Airlines (SAS),12,143,DE,US,International,4
I,Lufthansa,11,17,DE,US,International,1
M,TrenItalia,9,20,US,IT,International,1
C,Lufthansa,6,2,SE,ES,International,2
E,Scandinavian Airlines (SAS),5,23,SE,GB,International,1
C,Scandinavian Airlines (SAS),3,2,NO,NO,Domestic,1
medium car,Lufthansa,4,2,DE,ES,International,2
F,Scandinavian Airlines (SAS),15,28,SE,IT,International,1
C,Scandinavian Airlines (SAS),12,0,NO,NO,Domestic,1
M,Travelstart,13,1,ZA,ZA,Domestic,1
medium car,FreeNow,13,1,GB,GB,Domestic,1
I,Scandinavian Airlines (SAS),2,2,NO,NO,Domestic,1
medium car,Lufthansa,2,1,DE,DE,Domestic,1
E,Lufthansa,5,7,DE,IT,International,1
C,Lufthansa,2,72,IT,DE,International,4
M,Lufthansa,4,11,DE,ES,International,2
C,Scandinavian Airlines (SAS),9,5,SE,FR,International,1
C,Lufthansa,12,82,US,DE,International,1
M,Lufthansa,3,105,US,DE,International,2
I,Scandinavian Airlines (SAS),5,8,DK,SE,International,4
C,Scandinavian Airlines (SAS),2,2,NO,NO,Domestic,1
I,Scandinavian Airlines (SAS),14,114,DK,IT,International,1
C,Lufthansa,14,17,US,DE,International,2
C,Scandinavian Airlines (SAS),3,56,NO,GB,International,1
C,Scandinavian Airlines (SAS),1,49,NO,NO,Domestic,1
E,Scandinavian Airlines (SAS),7,22,DE,NO,International,2
E,Travelstart,3,6,ZA,ZA,Domestic,1
C,Scandinavian Airlines (SAS),3,5,DK,DE,International,1
E,Scandinavian Airlines (SAS),1,8,DK,NO,International,1
C,Lufthansa,6,5,DE,NO,International,3
M,Travelstart,2,7,ZA,ZA,Domestic,1
E,Scandinavian Airlines (SAS),8,61,NO,IT,International,2
C,Lufthansa,7,141,DE,IT,International,3
F,Scandinavian Airlines (SAS),3,42,NO,US,International,1
I,Lufthansa,5,0,IT,ES,International,1
C,Scandinavian Airlines (SAS),3,11,SE,SE,Domestic,1
I,Lufthansa,18,120,DE,US,International,2
E,Lufthansa,4,12,DE,NO,International,1
C,Scandinavian Airlines (SAS),2,30,NO,NO,Domestic,1
C,Scandinavian Airlines (SAS),6,10,NO,ES,International,1
C,Scandinavian Airlines (SAS),9,27,NO,FR,International,2
C,Lufthansa,3,168,DE,GB,International,2
E,Lufthansa,7,18,DE,ES,International,2
M,Scandinavian Airlines (SAS),15,157,NO,US,International,1
I,TrenItalia,3,22,CH,IT,International,1
C,Scandinavian Airlines (SAS),5,2,SE,ES,International,4
E,Travelstart,2,2,ZA,ZA,Domestic,1
C,Lufthansa,9,15,DE,GB,International,1
M,TrenItalia,1,34,IT,IT,Domestic,1
E,Scandinavian Airlines (SAS),8,2,SE,FR,International,2
medium car,Scandinavian Airlines (SAS),13,25,SE,ES,International,1
F,Lufthansa,1,2,DE,DE,Domestic,1
E,Scandinavian Airlines (SAS),5,10,NO,NO,Domestic,1
E,Scandinavian Airlines (SAS),1,79,NO,US,International,1
C,Scandinavian Airlines (SAS),2,15,SE,DE,International,1
C,Scandinavian Airlines (SAS),1,1,SE,IT,International,1
F,Scandinavian Airlines (SAS),3,1,SE,ES,International,1
C,Lufthansa,56,148,DE,ZA,International,4
E,Lufthansa,11,7,DE,US,International,1
C,Lufthansa,3,1,DE,ES,International,1
C,Scandinavian Airlines (SAS),12,209,SE,FR,International,2
C,Lufthansa,4,26,DE,SE,International,1
C,Lufthansa,12,256,DE,GB,International,2
E,Lufthansa,1,3,DE,DE,Domestic,1
F,Scandinavian Airlines (SAS),9,170,DK,US,International,1
E,TrenItalia,1,53,IT,IT,Domestic,1
E,Lufthansa,7,6,DE,ES,International,1
I,Lufthansa,7,77,DE,IT,International,3
E,Travelstart,4,15,ZA,ZA,Domestic,1
F,Scandinavian Airlines (SAS),11,52,DK,US,International,1
M,TrenItalia,4,12,IT,IT,Domestic,1
E,Lufthansa,6,80,SE,IT,International,3
C,Scandinavian Airlines (SAS),1,20,DK,NO,International,1
medium car,Lufthansa,2,47,DE,DE,Domestic,3
C,Lufthansa,4,21,DE,NO,International,2
C,Scandinavian Airlines (SAS),3,12,DK,DE,International,1
S,Scandinavian Airlines (SAS),3,7,SE,NO,International,1
F,Scandinavian Airlines (SAS),1,4,SE,SE,Domestic,1
F,Scandinavian Airlines (SAS),11,10,NO,US,International,1
C,Scandinavian Airlines (SAS),18,60,SE,ES,International,1
C,Lufthansa,21,8,US,DE,International,4
M,Travelstart,4,5,ZA,ZA,Domestic,1
I,Scandinavian Airlines (SAS),4,28,SE,SE,Domestic,1
I,Lufthansa,15,3,DE,ZA,International,3
C,Lufthansa,4,5,SE,DE,International,4
medium car,Scandinavian Airlines (SAS),4,5,NO,NO,Domestic,2
C,Scandinavian Airlines (SAS),4,2,SE,FR,International,2
C,Lufthansa,15,158,DE,US,International,2
C,Scandinavian Airlines (SAS),4,1,SE,SE,Domestic,2
C,Scandinavian Airlines (SAS),7,23,NO,FR,International,4
I,Lufthansa,5,8,SE,IT,International,1
M,TrenItalia,2,8,IT,IT,Domestic,1
C,Travelstart,7,202,GB,ZA,International,1
I,Scandinavian Airlines (SAS),4,90,DK,US,International,1
F,Scandinavian Airlines (SAS),11,87,SE,DE,International,1
C,Scandinavian Airlines (SAS),2,18,SE,SE,Domestic,1
S,Scandinavian Airlines (SAS),3,1,GB,SE,International,1
large car,Scandinavian Airlines (SAS),8,6,NO,SE,International,1
S,Scandinavian Airlines (SAS),5,5,SE,SE,Domestic,3
I,Scandinavian Airlines (SAS),7,36,DK,ES,International,1
C,Scandinavian Airlines (SAS),2,15,SE,SE,Domestic,1
I,Lufthansa,5,26,ZA,US,International,1
I,Scandinavian Airlines (SAS),11,3,SE,US,International,1
E,TrenItalia,2,4,IT,IT,Domestic,1
E,Travelstart,5,7,ZA,ZA,Domestic,1
C,Lufthansa,15,3,CH,US,International,1
F,Scandinavian Airlines (SAS),24,32,NO,US,International,5
I,Scandinavian Airlines (SAS),1,5,DK,US,International,1
F,Scandinavian Airlines (SAS),5,4,NO,GB,International,4
C,Lufthansa,5,9,DE,ES,International,3
C,Lufthansa,4,20,DE,IT,International,1
M,Lufthansa,8,8,DE,ES,International,1
I,Lufthansa,15,9,DE,US,International,3
S,Lufthansa,14,79,DE,US,International,1
E,Lufthansa,6,193,DK,IT,International,2
F,Lufthansa,10,16,DE,GB,International,2
S,Scandinavian Airlines (SAS),2,18,SE,SE,Domestic,1
C,Scandinavian Airlines (SAS),7,250,SE,SE,Domestic,1
E,Lufthansa,7,320,DE,GB,International,1
C,Scandinavian Airlines (SAS),1,59,SE,SE,Domestic,1
E,Lufthansa,4,133,DE,ES,International,1
F,Lufthansa,2,1,DE,SE,International,1
C,Lufthansa,7,75,DE,IT,International,4
large car,Lufthansa,14,49,GB,US,International,1
C,Lufthansa,7,80,US,DE,International,2
E,Scandinavian Airlines (SAS),1,6,SE,SE,Domestic,1
C,Scandinavian Airlines (SAS),3,37,NO,NO,Domestic,1
medium car,FreeNow,4,0,DE,DE,Domestic,1
C,Lufthansa,9,4,DE,ES,International,2
large car,Travelstart,6,19,ZA,ZA,Domestic,1
M,TrenItalia,4,2,IT,IT,Domestic,1
I,Lufthansa,2,1,US,ES,International,1
E,Travelstart,1,2,ZA,ZA,Domestic,1
C,Lufthansa,2,31,DE,NO,International,1
I,Scandinavian Airlines (SAS),4,4,NO,DE,International,4
F,Lufthansa,14,17,DE,GB,International,3
M,Travelstart,8,17,ZA,ZA,Domestic,1
M,TrenItalia,1,5,IT,IT,Domestic,1
C,FreeNow,2,2,DE,DE,Domestic,1
M,Lufthansa,4,59,DE,DE,Domestic,1
S,Scandinavian Airlines (SAS),2,1,NO,NO,Domestic,1
M,Scandinavian Airlines (SAS),5,215,DK,FR,International,1
E,Lufthansa,7,6,DE,IT,International,3
C,Lufthansa,4,3,DE,US,International,1
C,Scandinavian Airlines (SAS),1,6,NO,SE,International,1
M,Scandinavian Airlines (SAS),3,19,DK,US,International,1
large car,Scandinavian Airlines (SAS),5,13,SE,ES,International,1
C,Scandinavian Airlines (SAS),2,2,SE,SE,Domestic,2
C,Lufthansa,4,18,DE,ES,International,2
C,Lufthansa,8,35,DE,IT,International,2
M,Travelstart,4,20,ZA,ZA,Domestic,1
S,Lufthansa,12,33,DE,ES,International,4
M,FreeNow,7,0,IT,IT,Domestic,1
C,Scandinavian Airlines (SAS),1,1,NO,NO,Domestic,1
C,Scandinavian Airlines (SAS),9,95,SE,SE,Domestic,1
E,Travelstart,3,5,ZA,ZA,Domestic,1
C,Lufthansa,2,28,DK,DE,International,2
I,Scandinavian Airlines (SAS),4,92,NO,DE,International,1
C,Lufthansa,8,146,GB,DE,International,2
M,Travelstart,1,0,ZA,ZA,Domestic,1
E,Lufthansa,3,9,DE,US,International,1
C,Scandinavian Airlines (SAS),7,15,DK,ES,International,1
I,Scandinavian Airlines (SAS),14,126,CH,IT,International,1
E,Scandinavian Airlines (SAS),2,76,SE,IT,International,1
M,TrenItalia,4,4,IT,IT,Domestic,1
E,Scandinavian Airlines (SAS),15,97,DK,US,International,4
M,Scandinavian Airlines (SAS),14,271,FR,NO,International,2
M,TrenItalia,7,13,IT,IT,Domestic,1
C,Lufthansa,3,129,DE,DE,Domestic,3
M,TrenItalia,6,53,IT,IT,Domestic,1
C,Scandinavian Airlines (SAS),12,3,DK,FR,International,4
E,Scandinavian Airlines (SAS),6,1,NO,DK,International,1
C,Lufthansa,28,58,ZA,GB,International,2
S,Lufthansa,8,24,DE,NO,International,1
C,Scandinavian Airlines (SAS),1,14,NO,US,International,1
C,Lufthansa,9,47,US,DE,International,1
C,Lufthansa,2,37,DE,DE,Domestic,1
C,Lufthansa,6,1,US,DE,International,1
C,Scandinavian Airlines (SAS),5,62,SE,FR,International,3
C,Scandinavian Airlines (SAS),5,3,NO,NO,Domestic,1
C,Scandinavian Airlines (SAS),4,86,DK,GB,International,1
C,Scandinavian Airlines (SAS),3,20,NO,ES,International,1
F,Lufthansa,4,22,DE,US,International,2
medium car,Scandinavian Airlines (SAS),4,26,DK,ES,International,2
C,Scandinavian Airlines (SAS),4,55,GB,SE,International,4
E,TrenItalia,1,0,IT,IT,Domestic,1
F,Scandinavian Airlines (SAS),5,86,NO,NO,Domestic,1
E,Scandinavian Airlines (SAS),2,13,IT,SE,International,1
C,Scandinavian Airlines (SAS),2,6,NO,NO,Domestic,2
C,Lufthansa,7,196,DE,US,International,1
C,Lufthansa,2,2,GB,DE,International,1
C,FreeNow,3,1,US,IT,International,1
medium car,Lufthansa,3,111,DE,DE,Domestic,1
medium car,Lufthansa,9,11,US,DK,International,2
M,Scandinavian Airlines (SAS),4,39,NO,DE,International,1
I,Scandinavian Airlines (SAS),15,140,DK,US,International,1
C,Scandinavian Airlines (SAS),8,31,NO,IT,International,4
S,Scandinavian Airlines (SAS),6,75,NO,DK,International,3
medium car,Scandinavian Airlines (SAS),1,3,NO,NO,Domestic,1
E,Lufthansa,6,11,DE,US,International,1
C,Scandinavian Airlines (SAS),10,27,NO,NO,Domestic,1
S,Scandinavian Airlines (SAS),10,3,NO,NO,Domestic,2
C,Lufthansa,9,80,DE,US,International,1
I,Scandinavian Airlines (SAS),3,4,SE,IT,International,3
E,Scandinavian Airlines (SAS),11,4,DK,FR,International,2
M,Scandinavian Airlines (SAS),8,29,NO,FR,International,3
S,Lufthansa,17,20,US,DE,International,1
I,Scandinavian Airlines (SAS),8,6,SE,ES,International,1
F,Scandinavian Airlines (SAS),2,4,SE,GB,International,1
C,Scandinavian Airlines (SAS),2,6,NO,NO,Domestic,1
E,Scandinavian Airlines (SAS),3,15,SE,DE,International,1
C,Scandinavian Airlines (SAS),4,4,NO,GB,International,1
M,TrenItalia,1,3,IT,IT,Domestic,1
I,Scandinavian Airlines (SAS),7,6,DK,SE,International,3
F,Lufthansa,4,7,SE,DE,International,5
C,Scandinavian Airlines (SAS),5,83,NO,NO,Domestic,2
M,Travelstart,14,38,GB,ZA,International,1
E,Scandinavian Airlines (SAS),1,1,SE,DK,International,1
C,Lufthansa,7,0,DE,US,International,1
E,Lufthansa,3,83,DE,GB,International,1
E,Lufthansa,2,2,DE,DE,Domestic,1
C,Scandinavian Airlines (SAS),30,73,US,SE,International,1
C,Scandinavian Airlines (SAS),5,11,SE,NO,International,1
C,Lufthansa,23,3,GB,DE,International,1
F,Lufthansa,9,3,DE,US,International,1
C,Lufthansa,14,34,US,DE,International,1
M,Lufthansa,18,55,DE,US,International,5
E,Scandinavian Airlines (SAS),7,15,NO,IT,International,1
S,Lufthansa,11,144,FR,NO,International,1
C,Lufthansa,7,138,DE,ES,International,2
C,Lufthansa,14,63,DE,ES,International,2
C,Scandinavian Airlines (SAS),4,9,NO,ES,International,3
S,Scandinavian Airlines (SAS),6,7,DE,NO,International,1
E,Lufthansa,18,43,DE,US,International,1
C,Lufthansa,4,5,DE,DE,Domestic,1
I,Lufthansa,7,51,US,US,Domestic,1
M,TrenItalia,6,67,IT,IT,Domestic,1
S,Scandinavian Airlines (SAS),3,2,NO,NO,Domestic,1
C,Scandinavian Airlines (SAS),8,237,NO,IT,International,1
I,Scandinavian Airlines (SAS),13,40,SE,US,International,1
I,Scandinavian Airlines (SAS),1,70,SE,US,International,1
C,Lufthansa,3,6,DE,DE,Domestic,3
C,Scandinavian Airlines (SAS),2,16,NO,IT,International,1
C,Lufthansa,15,136,DE,IT,International,2
medium car,Scandinavian Airlines (SAS),3,2,NO,NO,Domestic,1
M,Travelstart,11,22,ZA,ZA,Domestic,1
I,Scandinavian Airlines (SAS),5,20,SE,US,International,1
C,Lufthansa,3,30,DE,DE,Domestic,1
C,Lufthansa,7,46,GB,FR,International,1
I,Scandinavian Airlines (SAS),8,70,NO,IT,International,1
medium car,Scandinavian Airlines (SAS),3,23,SE,FR,International,1
C,Lufthansa,11,118,DE,IT,International,2
E,Travelstart,10,8,GB,ZA,International,1
F,Scandinavian Airlines (SAS),3,52,DK,DE,International,2
C,Scandinavian Airlines (SAS),8,30,NO,ES,International,1
F,Scandinavian Airlines (SAS),5,6,SE,SE,Domestic,4
C,Lufthansa,6,62,DE,US,International,1
E,FreeNow,6,1,FR,FR,Domestic,1
C,Lufthansa,4,39,NO,DE,International,1
M,TrenItalia,4,9,IT,IT,Domestic,1
S,Scandinavian Airlines (SAS),8,29,GB,IT,International,1
M,Travelstart,5,8,ZA,ZA,Domestic,1
E,Scandinavian Airlines (SAS),1,0,DK,NO,International,1
M,Scandinavian Airlines (SAS),7,77,SE,IT,International,1
C,Scandinavian Airlines (SAS),3,85,SE,SE,Domestic,2
F,Scandinavian Airlines (SAS),7,28,SE,GB,International,1
C,Scandinavian Airlines (SAS),3,83,SE,SE,Domestic,1
C,Lufthansa,7,34,CH,ES,International,2
E,Scandinavian Airlines (SAS),3,6,NO,NO,Domestic,1
C,Lufthansa,11,219,DE,US,International,3
M,Travelstart,3,17,ZA,ZA,Domestic,1
C,Scandinavian Airlines (SAS),22,26,DK,ES,International,2
C,Lufthansa,11,35,DE,ES,International,1
C,Scandinavian Airlines (SAS),8,119,SE,ES,International,4
M,Lufthansa,3,30,DE,IT,International,3
medium car,Scandinavian Airlines (SAS),8,79,DK,IT,International,5
C,Lufthansa,14,2,DK,ES,International,2
M,Scandinavian Airlines (SAS),18,135,NO,ES,International,2
M,Scandinavian Airlines (SAS),3,6,SE,FR,International,1
C,Scandinavian Airlines (SAS),4,42,SE,SE,Domestic,1
E,Lufthansa,4,3,DE,DE,Domestic,1
large car,Scandinavian Airlines (SAS),30,32,NO,US,International,1
I,Scandinavian Airlines (SAS),7,50,SE,US,International,1
medium car,Scandinavian Airlines (SAS),3,10,DK,IT,International,1
I,Scandinavian Airlines (SAS),1,1,SE,US,International,1
E,Travelstart,4,6,ZA,ZA,Domestic,1
S,Scandinavian Airlines (SAS),1,23,SE,SE,Domestic,1
M,Scandinavian Airlines (SAS),3,24,SE,SE,Domestic,1
S,Scandinavian Airlines (SAS),3,44,SE,NO,International,1
M,Travelstart,1,4,ZA,ZA,Domestic,1
S,Scandinavian Airlines (SAS),4,29,NO,NO,Domestic,1
I,Lufthansa,11,86,DE,US,International,2
E,FreeNow,1,0,DE,DE,Domestic,1
M,Scandinavian Airlines (SAS),6,14,NO,GB,International,2
F,Lufthansa,5,12,DE,US,International,1
C,Lufthansa,3,7,SE,IT,International,1
F,Scandinavian Airlines (SAS),9,92,SE,ES,International,1
S,Scandinavian Airlines (SAS),4,66,SE,SE,Domestic,1
E,Scandinavian Airlines (SAS),1,2,NO,NO,Domestic,1
C,Scandinavian Airlines (SAS),10,9,NO,ES,International,1
C,Lufthansa,6,144,IT,NO,International,1
large car,Scandinavian Airlines (SAS),14,8,SE,US,International,3
I,Scandinavian Airlines (SAS),14,18,NO,ES,International,1
C,Scandinavian Airlines (SAS),4,22,SE,SE,Domestic,1
C,Scandinavian Airlines (SAS),6,20,US,DK,International,1
S,Lufthansa,6,71,DE,US,International,2
C,Scandinavian Airlines (SAS),6,19,SE,IT,International,2
E,Lufthansa,4,12,DE,IT,International,2
M,Travelstart,1,7,ZA,ZA,Domestic,1
C,Scandinavian Airlines (SAS),7,179,IT,DK,International,1
I,Scandinavian Airlines (SAS),1,4,SE,SE,Domestic,1
E,Scandinavian Airlines (SAS),27,73,SE,ES,International,1
C,Scandinavian Airlines (SAS),7,20,NO,US,International,1
C,Scandinavian Airlines (SAS),2,6,DE,GB,International,1
F,Lufthansa,2,3,IT,DE,International,1
C,Scandinavian Airlines (SAS),4,23,SE,SE,Domestic,1
E,Lufthansa,9,31,DE,IT,International,2
E,Scandinavian Airlines (SAS),27,10,NO,ES,International,4
I,Scandinavian Airlines (SAS),1,5,SE,SE,Domestic,1
I,Scandinavian Airlines (SAS),6,129,NO,IT,International,4
C,Scandinavian Airlines (SAS),11,20,SE,SE,Domestic,1
medium car,Scandinavian Airlines (SAS),11,0,SE,SE,Domestic,1
S,Scandinavian Airlines (SAS),3,11,SE,SE,Domestic,1
S,Scandinavian Airlines (SAS),12,26,NO,ES,International,3
C,Lufthansa,9,135,DE,GB,International,2
E,Scandinavian Airlines (SAS),1,2,SE,NO,International,1
I,Scandinavian Airlines (SAS),1,31,SE,US,International,1
E,Travelstart,16,62,ZA,ZA,Domestic,1
M,Travelstart,2,38,ZA,ZA,Domestic,1
M,Lufthansa,4,141,DE,FR,International,2
C,Lufthansa,6,20,DE,ES,International,2
I,Scandinavian Airlines (SAS),18,3,SE,US,International,7
M,TrenItalia,1,0,IT,IT,Domestic,1
E,Lufthansa,10,73,DE,ES,International,1
I,Lufthansa,1,3,DE,US,International,1
